countryname,cityname,citycode,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Spain,Teruel,terl.spa9014,fixed,0.08,0.08,0.02,0.07,0.08,0.07,0.09,0.05,0.11
United Kingdom,Thanet,thnt.uk9016,fixed,0.1,0.1,0.06,0.08,0.11,0.06,0.13,0.01,0.19
Mexico,BAJA CALIFORNIA,tijn.mex9814,fixed,0.13,0.14,0.02,0.12,0.13,0.12,0.15,0.1,0.17
Mexico,MÉXICO,tldl.mex9814,fixed,0.14,0.14,0.02,0.13,0.14,0.12,0.15,0.1,0.17
United States,Tallahassee,tllh.usa7306,fixed,-0.01,-0.01,0.12,-0.03,0.02,-0.06,0.09,-0.21,0.18
Estonia,Tallinn,tlln.est9715,fixed,0.04,0.04,0.03,0.03,0.05,0.02,0.06,-0.01,0.09
China,Tangshan,tngs.chi9615,fixed,0.03,0.03,0.04,0.02,0.04,0.01,0.05,-0.03,0.09
China,Tianjin,tnjn.chi9615,fixed,0.05,0.05,0.02,0.04,0.05,0.03,0.06,0.01,0.09
Spain,Tenerife,tnrf.spa9014,fixed,0.14,0.14,0.02,0.13,0.14,0.13,0.16,0.12,0.17
Japan,Tokyo,toky.jap1115,fixed,0.01,0.01,0.07,-0.01,0.02,-0.04,0.04,-0.1,0.11
Spain,Toledo,told.spa9014,fixed,0.16,0.17,0.02,0.16,0.17,0.15,0.18,0.13,0.2
United States,Toledo,told.usa7306,fixed,0.11,0.11,0.04,0.1,0.11,0.08,0.13,0.05,0.17
France,haute garonne,tols.fra0014,fixed,0.13,0.13,0.03,0.13,0.14,0.11,0.15,0.08,0.19
Canada,City of Toronto Health Unit,trnt.can8615,fixed,0.13,0.14,0.02,0.13,0.14,0.12,0.15,0.1,0.18
United States,trenton,trnt.usa7306,fixed,0.14,0.14,0.02,0.13,0.14,0.13,0.16,0.11,0.18
Spain,Tarragona,trrg.spa9014,fixed,0.1,0.1,0.02,0.1,0.11,0.09,0.11,0.07,0.13
Brazil,Teresina,trsn.bra9711,fixed,0.09,0.09,0.02,0.09,0.1,0.08,0.11,0.06,0.13
Italy,Torino,trst.ita0110,fixed,0.17,0.18,0.03,0.16,0.18,0.15,0.19,0.13,0.23
United States,Tulsa,tuls.usa7306,fixed,0.12,0.12,0.05,0.11,0.14,0.08,0.15,0.03,0.21
Italy,Trieste,turn.ita0110,fixed,0.08,0.08,0.05,0.05,0.08,0.04,0.1,0,0.15
Italy,Venezia,venc.ita0110,fixed,0.11,0.12,0.02,0.11,0.12,0.1,0.13,0.08,0.15
United States,Visalia,visl.usa7306,fixed,0.15,0.15,0.05,0.12,0.15,0.12,0.19,0.07,0.24
Brazil,Vitória,vitr.bra9711,fixed,0.13,0.13,0.03,0.11,0.12,0.11,0.14,0.08,0.17
Spain,Araba,vitr.spa9014,fixed,0.12,0.12,0.02,0.12,0.13,0.11,0.13,0.1,0.15
Spain,Valladolid,vlld.spa9014,fixed,0.17,0.17,0.02,0.16,0.17,0.16,0.18,0.13,0.2
Spain,Valencia,vlnc.spa9014,fixed,0.2,0.2,0.02,0.2,0.21,0.19,0.21,0.17,0.24
